mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
247.530924,16.55836215,0.792021465,0.011753713,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.808504963,0.808431374,0.808449771,0.808826911,0.808650379,0.80857268,0.000148546,9
350.6764406,7.012559411,1.135751534,0.012754703,0.01,3,150,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150}",0.808238205,0.810767801,0.808449771,0.808302595,0.810848848,0.809321444,0.001216239,8
401.8855796,11.68355493,1.322630644,0.008963345,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.844287252,0.845575046,0.84480237,0.844590803,0.845840386,0.845019171,0.00059154,7
604.0971876,20.7801473,1.955281639,0.016161694,0.01,6,150,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150}",0.844977142,0.846228142,0.845151914,0.845400274,0.846097947,0.845571084,0.00050338,6
225.6857144,0.960730579,0.71551013,0.011502648,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.848564569,0.848702547,0.848803731,0.84868415,0.850274119,0.849005823,0.000638681,5
342.352925,3.795646387,1.00151453,0.01482585,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.849843165,0.850919393,0.850229503,0.850109922,0.850706454,0.850361688,0.000394873,4
382.682429,9.260345677,1.253652525,0.028693678,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.856337329,0.857422755,0.857036417,0.856144159,0.857375451,0.856863222,0.000528974,3
539.5168926,22.16296753,1.706507635,0.046663014,0.1,6,150,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}",0.85877494,0.858977307,0.859244065,0.857836689,0.859049599,0.85877652,0.000493309,2
986.803554,11.774689,2.817962,0.013023,0.1,9,150,"{'max_depth': 9, 'n_estimators': 150}	",0.859391,0.859787,0.859943,0.859134,0.859583,0.859568,0.000286,1
